"['economy', 'generation', 'tf', 'walk', 'tf', 'work', 'class', 'college', 'give', 'single', 'fuck', 'make', 'spend', 'tax', 'include', 'school', 'scholarship']" neutral
"['absolutely', 'bad', 'thing', 'happen', 'economy']" negative
"['omg', 'catch', 'trump', 'freaking', 'brake', 'pre', 'corid', '19', 'economy', 'fly', 'high', 'man', 'incoming', 'alternative', 'sleepy', 'joe', 'vote', 'trump', '4', 'year']" positive
"['listen', 'jack', 'move', 'change', 'economy', 'time', 'today', 'give', 'foo', 'security', 'gratitude', 'straight', 'jack', 'move', 'change', 'economy', 'panic', 'fall', 'back', 'xenophobia']" negative
"['graduation', 'economy', 'taco', 'buffet', 'feed', '25', '299', 'deliver', 'grove', 'california']" negative
"['2', 'tier', 'corrupt', 'justice', 'system', 'dear', 'leader', 'spend', 'time', 'fix', 'current', 'economic', 'crisis', 'face', 'country', 'economy', 'tank', 'million', 'work', 'high', 'inflation', 'govt', 'support', 'health', 'crisis', 'uprising', 'street', 'protest']" positive
"['shut', 'pressure', 'hospital', 'system', 'goalpost', 'move', 'stop', 'virus', 'pfft', 'democrat', 'governor', 'kill', 'people', 'put', 'covid', 'patient', 'nurse', 'home', 'open', 'economy', 'shut']" negative
"['magic', 'fairy', 'bring', 'economy', 'back', 'determine', 'destroy', 'america', 'employment', 'bad', 'job', 'nonexistent', 'trump', 'destroy', 'america', 'glad', 'business', 'man', 'pres', 'happen']" positive
"['taiwan', 'hk', 'people', 'chinese', 'fact', 'rely', 'heavily', 'china', 'drive', 'economy']" negative
"['omg', 'catch', 'trump', 'freaking', 'brake', 'pre', 'corid', '19', 'economy', 'fly', 'high', 'man', 'incoming', 'alternative', 'sleepy', 'joe', 'vote', 'trump', '4', 'year']" positive
"['republican', 'ran', 'country', '120', '00', 'death', 'rise', 'covid', 'job', 'lose', 'million', 'american', 'unemployed', 'bad', 'economy']" negative
"['time', 'wasn', 'successful', 'time', 'give', 'shit', 'economy', 'successful', 'word', 'successful', 'success', 'implies', 'completion', 'people']" positive
"['corona', 'outbreak', 'pakistan', 'economy', 'drastically', 'concern', 'govt', 'source', 'collect', 'tax', 'people', 'hike', 'fuel', 'price']" negative
"['labour', 'year', 'disappointing', 'boom', 'economy', '1997', '2007']" positive
"['understand', 'citizen', 'pay', 'tax', 'contribute', 'economy', 'puerto', 'rico', 'representation', 'unfair', 'plain', 'simple']" negative
"['senrickscott', 'murder', 'hundred', 'floridian', 'kill', 'parent', 'kill', 'economy', 'republican', 'wear', 'damn', 'mask', 'red', 'state', 'death', 'health', 'care', 'potus']" negative
"['china', 'start', 'phase', '1', 'digital', 'yuan', 'huge', 'economy', 'ton', 'international', 'business', 'inevitable', 'adopt', 'digital', 'dollar', 'country', 'follow', 'hmm', 'll', 'odl', 'bridge', 'xrp', 'duh', 'blockchain', 'centralize']" negative
"['pertain', 'economy', 'ahh', 'understand']" negative
"['macedonia', 'face', '3', 'political', 'situation', 'crazy', 'organize', 'election', 'time', 'covid', '19', 'insane', 'behavior', 'people', 'doesnt', 'reality', 'covid', '19', 'joke', 'economy', 'collapse']" negative
